vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
